gene	tissue_type	mean_expression	detection_rate	note
MMP14	unknown			Rscript unavailable; expression matrix not parsed
CD79A	unknown			Rscript unavailable; expression matrix not parsed
MS4A1	unknown			Rscript unavailable; expression matrix not parsed
MZB1	unknown			Rscript unavailable; expression matrix not parsed
JCHAIN	unknown			Rscript unavailable; expression matrix not parsed
IGHG1	unknown			Rscript unavailable; expression matrix not parsed
IGKC	unknown			Rscript unavailable; expression matrix not parsed
EPCAM	unknown			Rscript unavailable; expression matrix not parsed
KRT8	unknown			Rscript unavailable; expression matrix not parsed
KRT18	unknown			Rscript unavailable; expression matrix not parsed
PTPRC	unknown			Rscript unavailable; expression matrix not parsed
SPP1	unknown			Rscript unavailable; expression matrix not parsed
CD44	unknown			Rscript unavailable; expression matrix not parsed
ITGB1	unknown			Rscript unavailable; expression matrix not parsed
